Warung_Id,Nama Warung,Deskripsi,Kategori,Koordinat,Longitude,Latitude
54,Golden Geisha Ramen,,Ramen,"-7.7531041616529235, 110.36078576782675",-7.753104162,110.3607858
55,Bolivar Coffee,,Coffee shop,"-7.762874590535945, 110.40579237946838",-7.762874591,110.4057924
56,Mie Sapi Banteng,,Mie Sapi,"-7.734128298800863, 110.39020378131903",-7.734128299,110.3902038
57,Swasana by Temata Yogyakarta,,Restoran,"-7.725858443339946, 110.4005007816546",-7.725858443,110.4005008
58,Lombok Idjo Jogja Adisoetjipto,,Restoran,"-7.783118695086397, 110.3896925855696",-7.783118695,110.3896926
59,Giorno's Pizzeria,,Pizza,"-7.783482027951531, 110.40126223480709",-7.783482028,110.4012622
60,Thyme Beef Bar & Eatery,,Steak,"-7.7829239530934435, 110.40575225270375",-7.782923953,110.4057523
61,"MANON BAAA,,!!! Kitchen by NINIKÉ",,Restoran,"-7.7835404928726355, 110.41795093930338",-7.783540493,110.4179509
62,Chunda Resto,,Restoran,"-7.783730793297081, 110.41856259190696",-7.783730793,110.4185626
63,BAKSO TITOTI Yogyakarta,,Bakso,"-7.778527383765475, 110.43002635324781",-7.778527384,110.4300264
64,The Bean Garden Coffee and Eatery,,Coffee shop,"-7.763833811200361, 110.42046692222621",-7.763833811,110.4204669
65,"Pizza Up Seturan",,Pizza,"-7.762118114610809, 110.41202277369318",-7.762118115,110.4120228
66,Downtown Diner,,Restoran,"-7.766622192712978, 110.41034309481192",-7.766622193,110.4103431
67,Parsley Bakery & Resto Seturan,,"Bakery, Restoran","-7.768032049471764, 110.41003464077701",-7.768032049,110.4100346
68,Bakmie Bersahadja 77,,Mie Kuah,"-7.781244851424955, 110.39559376412528",-7.781244851,110.3955938
69,Ayam Bakar Juara,,Ayam Bakar,"-7.764124300534807, 110.40515709092412",-7.764124301,110.4051571
70,Mou Gelato Yogyakarta,,Gelato,"-7.766085619644966, 110.40585446524298",-7.76608562,110.4058545
71,Donat Kuyo,,Donat,"-7.76821701568498, 110.40616023706175",-7.768217016,110.4061602
